Year,Quarter,Total,"Travel, entertainment, sportive or cultural activities",Visiting relatives and friends,"Education, training (less than a year)",Health or medical reasons (less than a year),Religion / Pilgrimage,Shopping,Business Travel,Other,Accompanying persons
2004,Annual,3844496,645213,817897,120776,61842,-,140824,1358125,516192,183627
2005,Annual,4124826,647122,954228,79651,47926,-,101387,1206157,937428,150927
2006,Annual,4063180,632848,933982,124828,41396,-,51446,1155906,957712,165062
2007,Annual,4956067,1152180,1116948,161040,18504,-,61295,1594451,566503,285146
2008,Annual,4892716,1060753,1206083,177477,20057,-,73600,1442816,616681,295249
2009,Annual,5561357,993818,1494840,166417,30852,-,125946,1750807,764146,234531
2010,Annual,6557235,1447628,1760992,240739,20643,-,249406,1822662,730938,284227
2011,Annual,6281971,1381061,1458442,146110,12699,-,180366,1850979,896630,355684
2012,Annual,5802950,1605698,1202376,133541,22531,69131,145747,1779559,573294,271073
2013,Annual,7525869,2647862.1611,1376450.3672,132895.48470000003,14815.7383,424953.4995,68455.20869999999,1573856.4101,786536.629,500043.7674
2014,Annual,7982263,2898572.2576,1512529.5920999998,111624.9927,11112.614699999998,430797.8068,52043.32970000001,2210090.7177,284682.5971000001,470809.6181
2015,Annual,8750851,3524114.8031,1706403.6583999998,137193.71159999998,12504.415899999998,409345.05419999996,60716.7145,1938323.1374,454295.6653,507954.1607
2016,Annual,7891908,3645957.2287,1510867.3613,137973.5694,9296.519,442991.11789999995,72800.8739,1427103.6439,203637.39119999998,441281.2323
2017,Annual,8886916,3960799.5247,1898320.6292,77316.3681,9880.525300000001,488104.27019999997,30996.1249,1563614.2869000002,255044.09000000003,602840.6301000001
2018,Annual,8383432,3410791.1609,1811529.3105,106241.9167,13685.4059,563453.0668,78306.5632,1689389.056,198860.73859999998,511175.083
2019,Annual,9650512,3838432.9671,2215159.5154999997,108501.0656,14160.1765,377176.81460000004,82801.56760000001,2039225.7813,409747.7387,565306.6628
2021,Annual,2738339,720113.1184,772721.6568,30422.562299999998,6628.5799,581.3533,21468.910600000003,666048.9724,388618.6025,131735.8049
2022,Annual,7266772,2514915.6081,1734187.4219,113113.0799,9364.5466,117204.493,358921.1268,1557050.7145999998,468855.10010000004,393160.74199999997
2023,Annual,7925096,2928436.9592,1735343.9293,117798.551,10481.8202,352955.68179999996,304699.0604,1583710.1306,446783.4872999999,444887.1101
