"Yıl
Year",Unnamed: 1,"Toplam
Total","Ocak
January","Şubat
February","Mart
March","Nisan
April","Mayıs
May","Haziran
June","Temmuz
July","Ağustos
August","Eylül
September","Ekim
October","Kasım
November","Aralık
December"
2013,Toplam - Total,12181,888,716,962,947,938,783,1114,890,1025,1021,1456,1441
2013,Antalya,5548,448,357,495,445,476,358,505,387,482,433,622,540
2013,İstanbul,2447,138,120,198,209,188,155,192,170,156,181,345,395
2013,Aydın,1112,78,71,52,83,79,74,139,81,132,105,115,103
2013,Muğla,1053,75,55,80,75,75,87,122,72,95,98,103,116
2013,Mersin,545,45,28,23,38,44,20,47,50,35,48,92,75
2013,Bursa,375,23,16,19,31,16,14,33,22,28,44,73,56
2013,Yalova,284,26,17,34,27,10,16,14,38,22,27,28,25
2013,İzmir,194,21,14,17,8,23,15,16,16,11,17,17,19
2013,Ankara,175,9,13,10,10,10,14,5,16,21,21,19,27
2013,Sakarya,103,2,2,6,9,3,10,9,6,9,7,14,26
2013,Diğer iller - Other provinces,345,23,23,28,12,14,20,32,32,34,40,28,59
2014,Toplam - Total,18959,1207,1071,1362,1554,1610,1703,1473,1774,1857,1806,1687,1855
2014,Antalya,6542,464,400,459,563,652,586,569,591,590,612,549,507
2014,İstanbul,5580,243,301,478,489,406,600,416,511,546,556,500,534
2014,Aydın,1191,70,61,58,109,150,108,104,93,144,121,86,87
2014,Muğla,1051,75,61,64,86,90,104,75,133,112,103,69,79
2014,Bursa,954,62,57,65,89,64,88,66,96,87,78,86,116
2014,Mersin,783,70,49,59,50,60,40,75,70,96,72,45,97
2014,Yalova,765,21,36,43,37,73,63,39,64,81,84,103,121
2014,Sakarya,512,119,17,10,33,38,18,12,29,25,37,80,94
2014,Ankara,369,21,21,38,33,20,14,28,38,42,32,37,45
2014,Trabzon,225,9,12,8,16,14,13,17,28,29,20,23,36
2014,Diğer iller - Other provinces,987,53,56,80,49,43,69,72,121,105,91,109,139
2015,Toplam - Total,22830,1289,1369,1610,1847,1982,2256,2027,2044,1768,2236,2119,2283
2015,İstanbul,7493,377,466,548,584,636,718,541,602,561,780,703,977
2015,Antalya,6072,392,356,451,507,546,610,686,518,440,567,539,460
2015,Bursa,1501,81,106,103,133,128,125,112,177,112,136,149,139
2015,Yalova,1425,95,77,119,133,104,123,127,147,126,118,138,118
2015,Aydın,1107,63,65,72,90,111,198,119,79,82,103,65,60
2015,Sakarya,833,49,50,65,63,44,92,59,110,66,73,87,75
2015,Muğla,830,45,75,35,58,79,78,89,72,85,102,61,51
2015,Trabzon,778,11,12,45,40,90,78,72,108,105,84,69,64
2015,Mersin,717,38,53,60,76,73,76,67,52,43,58,47,74
2015,Ankara,599,41,33,32,52,44,40,44,51,41,66,80,75
2015,Diğer iller - Other provinces,1475,97,76,80,111,127,118,111,128,107,149,181,190
2016,Toplam - Total,18189,1462,1585,1595,1581,1612,1543,1044,1512,1276,1566,1773,1640
2016,İstanbul,5811,498,555,583,540,511,507,300,390,323,423,596,585
2016,Antalya,4352,315,328,360,360,407,381,281,370,359,467,409,315
2016,Bursa,1318,129,141,115,116,118,80,60,111,82,115,111,140
2016,Aydın,871,65,57,56,60,88,84,72,77,69,56,113,74
2016,Yalova,822,84,90,66,71,53,49,37,86,67,67,85,67
2016,Trabzon,810,54,41,41,67,89,51,63,108,67,87,81,61
2016,Sakarya,657,51,93,48,66,35,39,41,59,57,47,48,73
2016,Muğla,632,31,38,73,51,45,58,39,60,64,74,55,44
2016,Ankara,623,68,61,56,55,54,42,35,55,39,46,49,63
2016,Mersin,580,36,45,39,49,36,97,24,69,45,48,46,46
2016,Diğer iller - Other provinces,1713,131,136,158,146,176,155,92,127,104,136,180,172
2017,Toplam - Total,22234,1386,1306,1578,1624,1775,1926,1726,1684,2236,2677,2152,2164
2017,İstanbul,8182,441,458,579,571,530,903,528,524,797,1321,728,802
2017,Antalya,4707,264,279,313,385,442,408,386,376,520,465,491,378
2017,Bursa,1474,137,119,124,109,120,93,102,100,119,121,142,188
2017,Yalova,1079,62,62,88,69,92,59,80,103,87,108,128,141
2017,Trabzon,978,52,44,57,97,123,51,121,99,119,75,76,64
2017,Aydın,826,46,29,30,59,50,77,100,101,119,93,63,59
2017,Ankara,817,72,59,73,65,55,68,68,53,67,83,81,73
2017,Sakarya,770,70,41,80,42,67,37,68,81,64,55,94,71
2017,Muğla,634,40,33,33,44,51,60,65,56,57,80,71,44
2017,Mersin,600,29,42,48,49,69,41,31,36,55,58,57,85
2017,Diğer iller - Other provinces,2167,173,140,153,134,176,129,177,155,232,218,221,259
2018,Toplam - Total,39663,1742,1729,1827,2043,2415,2060,2858,3866,5615,6276,4672,4560
2018,İstanbul,14270,545,604,556,676,854,764,956,1141,1799,2283,1922,2170
2018,Antalya,7938,427,415,446,475,595,525,641,675,1038,1160,797,744
2018,Bursa,2720,161,134,109,150,141,117,176,307,424,448,301,252
2018,Ankara,2133,71,70,67,45,96,83,89,305,386,392,278,251
2018,Yalova,2063,90,84,89,113,108,74,167,263,333,321,229,192
2018,Sakarya,1366,51,44,67,54,64,50,132,175,222,221,174,112
2018,Trabzon,1344,82,71,134,143,67,43,108,159,227,149,74,87
2018,Aydın,1070,31,42,33,65,85,51,98,120,156,188,123,78
2018,Mersin,1022,42,37,49,63,84,58,71,93,174,126,110,115
2018,Samsun,956,36,37,53,41,62,40,67,120,160,162,83,95
2018,Diğer iller - Other provinces,4781,206,191,224,218,259,255,353,508,696,826,581,464
2019,Toplam - Total,45483,3168,3321,3129,3720,3925,2689,4192,3604,4177,4272,3988,5298
2019,İstanbul,20857,1361,1440,1520,1839,1734,1009,1903,1549,1924,2043,1885,2650
2019,Antalya,8951,601,672,626,676,850,668,764,656,744,912,825,957
2019,Ankara,2539,182,196,173,210,216,134,249,213,239,192,218,317
2019,Bursa,2213,177,192,121,201,187,122,217,228,213,215,128,212
2019,Yalova,1696,162,138,110,142,136,123,177,169,141,134,110,154
2019,Sakarya,1247,135,80,104,95,106,72,111,113,136,75,85,135
2019,Muğla,957,51,59,28,68,109,76,77,85,115,106,94,89
2019,Trabzon,935,54,52,49,100,59,111,109,100,95,62,56,88
2019,Samsun,885,78,64,54,53,54,48,97,65,98,61,90,123
2019,Aydın,837,63,41,33,47,91,80,78,82,84,80,86,72
2019,Diğer iller - Other provinces,4366,304,387,311,289,383,246,410,344,388,392,411,501
2020,Toplam - Total,40812,3907,4005,3036,790,860,1664,2741,3893,5269,5258,4962,4427
2020,İstanbul,19175,1875,1987,1513,374,423,730,1046,1648,2370,2458,2443,2308
2020,Antalya,7735,762,805,584,150,130,277,615,784,1018,928,893,789
2020,Ankara,2746,235,265,165,47,72,180,230,288,347,347,297,273
2020,Bursa,1340,163,115,93,21,23,34,75,119,239,186,174,98
2020,Yalova,1321,128,131,80,25,24,44,88,133,168,187,182,131
2020,Mersin,1313,91,72,110,20,29,57,101,148,191,175,160,159
2020,İzmir,908,56,79,74,30,38,65,75,91,107,116,96,81
2020,Samsun,880,94,83,57,14,23,54,68,92,104,109,93,89
2020,Sakarya,864,95,80,60,7,11,29,51,95,127,123,94,92
2020,Muğla,745,59,58,64,23,7,29,69,90,90,124,78,54
2020,Diğer iller - Other provinces,3785,349,330,236,79,80,165,323,405,508,505,452,353
2021,Toplam - Total,58576,2675,2964,4248,4077,1776,4748,4495,5866,6630,5893,7363,7841
2021,İstanbul,26469,1380,1525,2119,2009,818,2257,1951,2729,2995,2464,2922,3300
2021,Antalya,12384,462,533,889,859,341,906,931,976,1358,1385,1917,1827
2021,Ankara,3672,179,211,252,228,106,300,312,400,408,359,428,489
2021,Mersin,2513,131,138,184,197,80,221,217,242,253,207,343,300
2021,Yalova,1818,71,63,129,120,55,146,122,233,228,197,218,236
2021,Bursa,1683,75,60,70,131,41,148,158,206,204,167,175,248
2021,İzmir,1411,70,49,58,59,37,73,63,121,207,215,219,240
2021,Sakarya,1262,31,35,76,61,75,113,128,129,122,121,171,200
2021,Samsun,1157,56,64,70,40,26,80,105,102,128,140,166,180
2021,Trabzon,952,36,23,36,40,32,79,88,112,189,115,104,98
2021,Diğer iller - Other provinces,5255,184,263,365,333,165,425,420,616,538,523,700,723
2022,Toplam - Total,67490,4186,4591,5567,6447,5962,8630,3939,5273,5049,5377,6083,6386
2022,İstanbul,24953,1771,1958,2245,2564,2451,3906,1154,1750,1795,1658,1733,1968
2022,Antalya,21860,914,1099,1434,1970,1885,2534,1421,1814,1585,2123,2616,2465
2022,Mersin,4316,219,216,229,299,264,428,289,317,335,490,567,663
2022,Ankara,2687,269,288,347,333,249,276,148,208,177,142,127,123
2022,Bursa,2002,117,161,174,158,132,226,165,193,206,148,157,165
2022,Yalova,1817,117,116,159,167,135,177,152,192,160,143,152,147
2022,İzmir,1322,142,100,132,138,109,125,50,87,89,87,97,166
2022,Sakarya,1259,107,89,135,133,122,193,81,95,99,75,64,66
2022,Trabzon,1019,69,87,87,61,68,100,85,117,78,66,95,106
2022,Samsun,1014,92,116,147,130,102,80,46,58,52,61,69,61
2022,Diğer iller - Other provinces,5241,369,361,478,494,445,585,348,442,473,384,406,456
2023,Toplam - Total,32941,4161,3350,3415,2557,3167,2625,2801,3058,2930,2535,2342,456
2023,Antalya,12093,1592,1261,1324,1024,1245,1004,996,919,1007,931,790,456
2023,İstanbul,10433,1380,1133,1090,792,934,760,832,1066,978,758,710,456
2023,Mersin,2786,331,225,240,186,249,223,263,248,211,294,316,456
2023,Ankara,979,124,109,101,90,80,76,116,94,77,58,54,456
2023,Bursa,902,140,97,83,34,89,72,86,104,92,67,38,456
2023,Yalova,896,112,71,85,64,95,80,82,109,99,51,48,456
2023,İzmir,708,65,96,92,54,66,44,68,55,58,53,57,456
2023,Muğla,559,63,58,73,41,48,46,49,58,51,36,36,456
2023,Trabzon,533,53,42,42,19,51,36,70,56,46,40,78,456
2023,Kocaeli,510,51,64,49,36,40,30,38,55,47,53,47,456
2023,Diğer iller - Other provinces,2542,250,194,236,217,270,254,201,294,264,194,168,456
